skill_id,card_type,position,name,description
G_011,NORMAL,BATTER,대타 스페셜,"상대 투수의 변화, 제구 능력치가 {x} 감소합니다. 대타 첫 타석에서 파워, 정확, 선구 능력치가 {x+4}증가합니다."
G_012,NORMAL,BATTER,리그의 강자,"주루 , 수비 능력치가 {x} 증가합니다. 리그모드인 경우 파워, 선구, 인내, 주루 능력치가 {y} 증가합니다."
G_013,NORMAL,BATTER,승부사,"파워, 인내 능력치가 {x} 증가합니다. 주자가 있을 때, 주자 1명당 정확, 선구 3 증가합니다."
G_014,NORMAL,BATTER,하위타선,"정확 , 주루 능력치가 {x+1} 증가합니다. 6/7/8/9 번 타순 배치 시 상대 투수의 구위, 제구 능력치가 {x} 감소합니다"
G_015,NORMAL,BATTER,도전정신,모든 능력치가 {x} 증가합니다. 나보다 높은 등급의 상대를 만났을 경우 상대 모든 능력치가 1 감소합니다.
G_016,NORMAL,BATTER,순위경쟁,"파워, 정확, 인내 능력치가 {x} 증가합니다. 랭킹 대전, 랭킹 토너먼트, 라이브 매치, 타점 배틀, 랭킹 슬러거에서 파워, 인내, 수비가 추가로 1 증가합니다."
G_017,NORMAL,BATTER,중심타선,"인내, 주루, 수비 능력치가 {x+1}증가합니다. 클린업(3, 4, 5번)으로 배치시, 상대투수의 구위, 변화, 제구가 {x+1}감소합니다."
G_018,NORMAL,BATTER,후반 집중력,"인내, 주루, 수비 능력치가 {x+1}증가합니다. 7회 이후(연장 포함), 상대투수의 구위, 변화, 제구가 {x+1}감소합니다."
G_019,NORMAL,BATTER,수비 스페셜리스트,"수비, 주루 능력치가 {y+1} 증가합니다. 1, 2, 6, 7, 8, 9 타순으로 출전 시 정확, 선구, 인내 능력치가 {y} 증가합니다."
G_020,NORMAL,BATTER,도전자,"정확, 주루 능력치가 {x}증가합니다. 랭킹 대전, 랭킹 토너먼트, 라이브 매치에서, 파워, 선구 능력치가 {x+1} 증가합니다."
G_021,NORMAL,BATTER,로드 워리어,"파워, 정확, 인내 능력치가 {x} 증가합니다. 원정 경기인 경우 상대 투수의 구위 변화 구속 능력치가 y 감소합니다"
G_022,NORMAL,BATTER,승리의 함성,"정확 인내 능력치가 x 증가합니다. 이기고 있을 때, 추가로 파워, 선구, 능력치가 x+2증가합니다."
G_023,NORMAL,BATTER,5툴 플레이어,"주루, 수비 능력치가 y증가합니다. 주루+수비 능력치의 z%만큼 파워, 정확이 증가합니다"
G_024,NORMAL,BATTER,베스트 플레이어,파워 정확 선구 인내 능력치가 y 증가합니다. 주루 수비 능력치가 z 증가합니다.
G_025,NORMAL,BATTER,컨택트 히터,"상대 투수의 구위 변화 제구 능력치를 y감소시킵니다. 1, 2번 타순에 배치시 평균 발사각이 3도 감소하고 추가로 정확 선구 주루 능력치가 z 증가합니다"
G_026,NORMAL,BATTER,히어로,파워 정확 선구 인내 능력치가 y 증가합니다. 상대팀 ovr이 내 팀 ovr보다 높을 시 파워 정확 선구 인내 능력치가 추가로 x 증가합니다.
G_027,NORMAL,C,포수 리드,"정확 인내 능력치가 x 증가합니다. 포수 배치 시, 등판 중인 팀 투수의 구속 능력치가 y 변화 능력치가 z 제구 능력치가 a 구위 능력치가 b 증가합니다"
G_028,NORMAL,BATTER,집중력,"파워 정확 인내 능력치가 y 증가합니다. 상대 투수의 구위 능력치가 파워 능력치보다 높은경우 정확 능력치가 x+3 증가하고, 파워가 4 감소합니다"
G_029,NORMAL,BATTER,호타준족,상대 투수의 구위 능력치를 y 감소시킵니다. 정확+주루 능력치의 z%만큼 파워 정확 능력치가 증가합니다.
G_030,NORMAL,BATTER,투 스트라이크 히터,모든 능력치가 y 증가합니다. 1스트라이크 이후 파워 선구 능력치가 z 증가합니다. 2 스트라이크 이후 정확 능력치가 a 증가합니다
G_031,NORMAL,BATTER,어그레시브 히터,"상대 투수의 구위 능력치를 x+1감소시킵니다. 볼 카운트 0-0, 0-1, 1-0 상황에서 파워 정확 능력치가 y 증가합니다."
G_032,NORMAL,BATTER,컴백 히터,"파워, 정확 인내 능력치가 y 증가합니다. 6회 이후(연장 포함) 동점이거나 지고 있을때, 상대 투수의 구위 능력치를 x+1 감소시킵니다"
G_033,NORMAL,BATTER,빌드업,"상대 투수의 변화 능력치를 y 감소시킵니다. 타석에 들어설 때마다 파워 정확 선구 능력치가 z 증가합니다.(최대 10까지만, 7타석까지만 적용)"
G_034,NORMAL,BATTER,오버페이스,"상대 투수의 구위 능력치를 x 감소시킵니다. 첫 타석에 파워, 정확 능력치가 8 증가하며, 이후 타석마다 2씩 감소합니다.(4~7번째 타석은 파워, 정확, 능력치가 2 증가합니다)"
G_035,NORMAL,BATTER,컨택 스페셜리스트,상대 투수의 변화 제구 구속 능력치를 x+1 감소시킵니다. 평균 발사각이 3도 감소합니다. 정확 능력치가 y 증가하고 파워 능력치가 3 감소합니다.
G_036,NORMAL,BATTER,주도권 장악,"정확 선구 능력치가 x 증가합니다. 상대 투수의 덱 스코어가 더 높은 경우 상대 투수의 구위, 변화 능력치를 y 감소시킵니다"
G_037,NORMAL,BATTER,전방위 압박,상대 투수의 구위 변화 제구 능력치를 y감소시킵니다. 상대 팀의 스페셜 덱 스코어가 더 높은 경우 파워 정확 선구 능력치가 x 증가합니다
G_038,NORMAL,BATTER,결속력,상대 투수의 변화 능력치를 x+1 감소시킵니다. 팀의 스페셜 덱 스코어의 1%만큼 파워 정확 선구 능력치가 증가합니다
G_039,NORMAL,PITCHER,에이스,투수의 모든 능력치가 x 증가합니다.
G_040,NORMAL,PITCHER,언터쳐블,구속 변화 능력치가 x+3 증가합니다
G_041,NORMAL,PITCHER,타선지원,투수 등판 후 공격에서 팀 타자 전체의 파워 주루 능력치가 x 증가합니다
G_042,NORMAL,PITCHER,클러치 피처,"주자당 투수의 변화, 제구 능력치가 x 증가합니다"
G_043,NORMAL,PITCHER,흐름끊기,"등판 후 상대하는 세 타자동안 구속, 변화 구위 제구 능력치가 x+1증가합니다"
G_044,NORMAL,PITCHER,아티스트,제구 및 변화 능력치가 x+3 증가합니다
G_045,NORMAL,PITCHER,패기,상대 타자의 ovr이 더 높은 경우 구위 구속 변화 제구 능력치가 x+2 증가합니다.
G_046,NORMAL,PITCHER,수호신,"8회 이후 등판시 구속, 구위, 변화, 제구 능력치가 x+1 증가합니다."
G_047,NORMAL,PITCHER,홈 어드밴티지,"구위, 변화, 지구력 능력치가 x 증가합니다. 홈 경기인 경우 추가로 구위, 변화, 지구력 능력치가 1 증가합니다"
G_048,NORMAL,SP,첫 단추,"구속, 구위 능력치가 x 증가합니다. 선발로 등판하는 경우 2이닝 동안 상대 타자의 정확, 선구, 인내 능력치가 x+1 감소합니다."
G_049,NORMAL,"RP, CP",원포인트 릴리프,"상대 타자들의 정확, 선구 능력치가 x 감소합니다. 교체 등판 후 첫 타자 상대시 구위, 제구, 변화 능력치가 x+4 증가합니다"
G_050,NORMAL,PITCHER,리그의 강자,"지구력 수비 능력치가 x증가합니다. 리그모드인 경우 구속, 구위, 제구, 지구력 능력치가 y 증가합니다."
G_051,NORMAL,PITCHER,승부사,"구위, 구속 능력치가 x 증가합니다. 주자가 있을 때 주자 1명 당 변화, 제구 3 증가합니다"
G_052,NORMAL,SP. RP,라이징 스타,"변화, 구속 능력치가 x+1 증가합니다. 3,4,5 선발 또는 3,4,5 중계 배치 시 등판 후 4타자 동안 상대 타자의 파워, 인내 능력치가 x 감소합니다."
G_053,NORMAL,PITCHER,도전정신,모든 능력치가 x 증가합니다. 나보다 높은 등급의 상대를 만났을 경우 상대 모든 능력치가 1 감소합니다
G_054,NORMAL,SP,순위경쟁,"구위, 제구, 변화 능력치가 x 증가합니다. 랭킹 대전, 랭킹 토너먼트, 라이브 매치, 타점 배틀에서 구위, 변화, 수비가 추가로 1 증가합니다."
G_055,NORMAL,RP,퀄리티 스타트,"구속, 제구, 수비 능력치가 x+1 증가합니다. 선발로 등판 시, 6회까지 상대 타자 파워, 정확, 선구가 x+1 감소합니다."
G_056,NORMAL,PITCHER,필승조,"구속, 제구, 수비 능력치가 x+1 증가합니다. 중계 투수가 등판 시 세타자 동안 비기거나 리드 상황일 경우, 상대 타자의 파워, 정확, 선구가 x+1 감소합니다."
G_057,NORMAL,PITCHER,하드 트레이닝,"구속 능력치가 x, 변화, 구위, 제구 능력치가 1 증가합니다. 지구력 능력치의 y%만큼 변화, 구위, 제구 능력치가 증가합니다."
G_058,NORMAL,PITCHER,베스트 플레이어,"구위, 변화, 구속, 제구 능력치가 y 증가합니다. 지구력, 수비 능력치가 z 증가합니다."
G_059,NORMAL,PITCHER,전문화,"변화, 구위 능력치가 x+1 증가합니다. 선발 투수라면 지구력, 중계 투수라면 제구, 마무리 투수라면 구속이 x+2 증가합니다."
G_060,NORMAL,PITCHER,히어로,"구위, 구속, 변화, 제구 능력치가 y 증가합니다. 상대 팀 OVR이 내 팀 OVR보다 높을 시 구위, 구속, 변화, 제구 능력치가 추가로 x 증가합니다."
G_061,NORMAL,PITCHER,도전자,"변화, 구속 능력치가 x 증가합니다. 랭킹 대전, 랭킹 토너먼트, 라이브 매치에서 구위, 제구 능력치가 x+1 증가합니다."
G_062,NORMAL,PITCHER,로드 워리어,"구위, 변화, 지구력 능력치가 x 증가합니다. 원정 경기인 경우 상대 타자의 파워, 정확, 주루가 y 감소합니다."
G_063,NORMAL,"RP, CP",더블 스토퍼,"구위, 변화 능력치가 y 증가합니다. 중계, 마무리 투수로 등판 시 상대 타자의 파워, 정확, 선구 능력치가 x+1 감소합니다."
G_064,NORMAL,SP,원투펀치,"구위, 제구 능력치가 y 증가합니다. 1,2선발로 배치 시 추가로 상대 타자의 정확, 인내가 x 감소합니다."
G_065,NORMAL,PITCHER,승리의 함성,"변화, 제구 능력치가 x 증가합니다. 이기고 있을 때 추가로 구위, 구속 능력치가 x+2 증가합니다."
G_066,NORMAL,PITCHER,위닝샷,"구위, 변화 능력치가 y 증가합니다. 2 스트라이크 이후 추가로 구위, 변화, 제구 능력치가 z 증가하고 모든 구종 등급이 1단계 상승합니다."
G_067,NORMAL,PITCHER,집중력,"상대 타자의 파워, 정확 능력치를 y 감소시킵니다. 주자가 1명이라도 있는 경우 구위, 변화 능력치가 x 증가합니다."
G_068,NORMAL,PITCHER,핀포인트 컨트롤,"상대 타자의 파워 능력치를 y 감소시킵니다. 변화+제구 능력치의 z% 만큼 구위, 변화 능력치가 증가합니다"
G_069,NORMAL,SP,유일무이,"상대 타자의 파워, 정확, 선구, 인내 능력치를 y 감소시킵니다. 1선발 배치 시 구위, 변화, 구속, 제구 능력치가 z 증가합니다."
G_070,NORMAL,PITCHER,주도권 장악,"변화, 제구 능력치가 x 증가합니다. 상대 타자의 덱 스코어가 더 높은 경우 상대 타자의 파워, 정확 능력치를 y 감소시킵니다."
G_071,NORMAL,PITCHER,전방위 압박,"상대 타자의 파워, 정확, 선구 능력치를 y 감소시킵니다. 상대 팀의 스페셜 덱 스코어가 더 높은 경우 구위, 변화, 제구 능력치가 x 증가합니다."
G_072,NORMAL,PITCHER,결속력,"상대 타자의 정확 능력치를 x+1 감소시킵니다. 팀의 스페셜 덱 스코어의 1% 만큼 구위, 변화, 제구 능력치가 증가합니다."
G_073,NORMAL,PITCHER,체이스 존,"변화, 제구 능력치가 x+2 증가합니다. 상대 타자의 체크 스윙 확률을 x+2% 감소 시키고 파워, 정확 능력치를 추가로 y 감소시킵니다."
G_074,NORMAL,PITCHER,빌드업,"상대 타자의 정확 능력치를 x 감소시킵니다. 현재 이닝에 따라 구위, 변화 능력치가 증가합니다. 1~3회 2 증가, 4~6회 5 증가, 7~9회 7 증가"
G_075,NORMAL,PITCHER,오버페이스,"상대 타자의 파워 능력치를 x 감소시킵니다. 현재 이닝에 따라 구위, 변화 능력치가 증가합니다. 1~3회 7 증가, 4~6회 5 증가, 7~9회 2 증가"
G_076,NORMAL,PITCHER,손끝의 열기,"상대 타자의 정확, 선구 능력치를 x 감소시킵니다. 직전 타자가 아웃 처리 시 구위, 변화 능력치가 y 증가합니다"
M_001,MOMENT,BATTER,프렌차이즈,"파워, 정확, 선구, 인내 능력치가 5 증가합니다. 홈 경기인 경우 추가로 파워, 정확, 인내 능력치가 1 증가합니다"
M_002,MOMENT,BATTER,돌풍의 주인공,"상대 투수의 구위, 변화, 제구 능력치가 4 감소합니다. 상대 투수의 OVR이 더 높은 경우 모든 능력치가 5 증가합니다"
M_003,MOMENT,BATTER,슬러거,"파워, 정확, 선구 능력치가 5 증가합니다. 좋은 타격 타이밍일 때 파워 능력치가 2 증가합니다"
M_004,MOMENT,BATTER,플레이오프 히어로,"모든 능력치가 3 증가합니다. 랭킹 대전, 랭킹 토너먼트, 라이브 매치에서 파워, 정확, 인내 능력치가 6 증가합니다. 상대 투수의 OVR이 더 높을 경우 상대의 변화, 구위가 4 감소합니다."
M_005,MOMENT,BATTER,시즌드 플레이어,"파워, 정확, 선구, 인내 능력치가 4 증가합니다. 이기고 있을 때 추가로 파워, 정확, 선구, 인내 능력치가 2 증가합니다."
M_006,MOMENT,BATTER,리더십,"상대 투수의 구위, 변화 능력치가 2 감소합니다. 라인업 등록 시 파워, 정확, 인내 능력치가 6 증가하고 모든 타자의 수비 능력치가 1 증가합니다. (해당 스킬은 중복 적용되지 않습니다"
M_007,MOMENT,BATTER,업 더 미들,"상대 투수의 구위, 변화 능력치가 6 감소합니다. C, 2B, SS, CF 배치 시 파워, 정확 능력치가 5 증가하고 주루, 수비 능력치가 10 증가합니다."
M_008,MOMENT,BATTER,핫 스타트,"상대 투수의 모든 능력치가 6 감소합니다. 두 번째 타석까지 파워, 정확, 선구, 인내 능력치가 6 증가합니다."
M_009,MOMENT,BATTER,파워 히터,"파워, 정확, 선구 능력치가 6 증가합니다. 스트라이크 타격 시 파워 능력치가 6 증가합니다"
M_010,MOMENT,BATTER,올어라운드,"모든 능력치가 5 상승합니다. DH 외 배치 시 파워, 정확 능력치가 5 증가하며, 도루 시도 시추가로 주루 능력치가 5 증가합니다."
M_011,MOMENT,BATTER,히트 머신,"상대 투수의 구위, 변화 능력치가 4감소합니다. 1, 2, 6, 7, 8, 9번 타순에 배치 시 모든 능력치가 6 증가합니다"
M_012,MOMENT,BATTER,2025 퍼포머트리오,"모든 능력치가 7 증가합니다. 주자가 있을 때 상대 투수의 구위, 변화를 3 감소시킵니다."
M_013,MOMENT,BATTER,FREE AGENT,"모든 능력치가 5 증가합니다. 홈 경기인 경우 추가로 파워, 정확, 인내 능력치가 5 증가합니다.원정 경기인 경우 상대 투수의 변화, 구위, 지구력이 5 감소합니다."
M_014,MOMENT,BATTER,커맨더,"모든 능력치가 5 증가합니다. 포수로 배치하면 등판 중인 팀 투수의 변화 능력치를 1, 구위능력치를 2 증가시킵니다."
M_015,MOMENT,PITCHER,프랜차이즈,"구위, 변화, 제구, 지구력 능력치가 5 증가합니다. 홈 경기인 경우 추가로 구위, 변화, 지구력 능력치가 1 증가합니다"
M_016,MOMENT,PITCHER,돌풍의 주인공,"상대 타자의 정확, 파워, 인내 능력치가 4 감소합니다. 상대 타자의 OVR이 더 높은 경우 모든 능력치가 5 증가합니다."
M_017,MOMENT,PITCHER,프라이머리 셋업맨,"구위, 변화, 제구 능력치가 5 증가합니다. 중계 투수가 등판 시 비기거나 리드 상황일 경우, 상대 타자의 파워, 정확이 5 감소합니다"
M_018,MOMENT,PITCHER,클로저,"구위, 변화, 구속 능력치가 4 증가합니다. 9회 이후 등판 시 상대 타자의 파워, 정확 능력치가 6 감소합니다."
M_019,MOMENT,PITCHER,프론트라인,"구위, 변화, 수비 능력치가 6 증가합니다. 선발로 등판 시, 7회까지 상대 타자 파워, 정확, 선구가 3 감소합니다."
M_020,MOMENT,PITCHER,플레이오프 히어로,"모든 능력치가 3 증가합니다. 랭킹 대전, 랭킹 토너먼트, 라이브 매치에서 변화, 구위, 제구 능력치가 6 증가합니다. 상대 타자의 OVR이 더 높을 경우 상대의 파워, 정확이 4 감소합니다."
M_021,MOMENT,PITCHER,엘리트,투수의 모든 능력치가 6 증가합니다.
M_022,MOMENT,PITCHER,시즌드 플레이어,"구위, 구속, 변화, 제구 능력치가 4 증가합니다. 이기고 있을 때 추가로 구위, 구속, 변화, 제구 능력치가 2 증가합니다."
M_023,MOMENT,PITCHER,핫 스타트,"상대 타자의 모든 능력치가 6 감소합니다. 등판 후 7타자 동안 구위, 변화, 구속, 제구 능력치가 6 증가합니다."
M_024,MOMENT,PITCHER,스윙맨,"상대 타자의 정확, 파워, 선구 능력치가 4 감소합니다. 비기거나 리드 상황일 경우 구위, 변화, 구속이 5 증가합니다. 지고 있는 상황일 경우 구위, 변화, 제구가 6 증가합니다"
M_025,MOMENT,PITCHER,불펜 에이스,"구속, 구위, 변화가 6 증가합니다. 주자가 있을 때 상대 타자의 파워, 정확, 인내 능력치를 5 감소시킵니다. 상대 타자의 OVR이 더 높은 경우 구위, 이 더 높은 경우 구위, 변화, 제구 능력치가 3 증가합니다."
M_026,MOMENT,PITCHER,2025 퍼포머트리오,"모든 능력치가 7 증가합니다. 투수 등판 후 공격에서 팀 타자 전체의 파워, 정확 능력치가 2 증가합니다."
M_027,MOMENT,PITCHER,락다운,"CP로 배치하면 7회 이후 상대 타자의 파워, 정확, 선구, 인내 능력치를 2 감소시킵니다. 등판 시 상대 타자의 파워, 정확, 선구 능력치를 추가로 7 감소시킵니다. (CP 배치 효과 : 다른 스킬과 중복 가능, 동일 스킬과 중복 불가)"
M_028,MOMENT,PITCHER,FREE AGENT,"모든 능력치가 5 증가합니다. 홈 경기인 경우 추가로 변화, 구위, 지구력 능력치가 5 증가합니다. 원정 경기인 경우 상대 타자의 파워, 정확, 인내가 5 감소합니다."
M_029,MOMENT,PITCHER,스탠드아웃,"구위, 변화, 제구 능력치가 7 증가하고 등판 후 9타자 동안 구위, 변화, 제구 능력치가 추가로 5 증가합니다. 리그 모드, 타점 배틀, 라이브 매치에서 상대 타자의 파워, 정확 능력치를 3 감소시킵니다."
M_030,MOMENT,PITCHER,코어 플레이어,"상대 타자의 파워, 정확, 선구 능력치를 5 감소시킵니다. 상대 팀 OVR이 내 팀 OVR보다 높을 시 구위, 변화, 제구 능력치가 5 증가합니다."
M_031,MOMENT,PITCHER,릴리프 앵커,"구위, 제구, 변화 능력치가 6 증가합니다. 등판 후 상대하는 3 타자동안 변화, 구위 능력치가 8 증가합니다. 비기거나 리드 상황일 경우, 상대 타자의 파워, 정확, 선구 능력치가 9 감소합니다."
M_032,MOMENT,BATTER,스탠드아웃,"파워, 정확, 선구 능력치가 7 증가하고 두 번째 타석까지 파워, 정확, 선구 능력치가 추가로 5 증가합니다. 리그 모드, 타점 배틀, 라이브 매치에서 상대 투수의 구위, 변화 능력치가 3 감소합니다."
M_033,MOMENT,BATTER,코어 플레이어,"상대 투수의 구위, 변화, 제구 능력치를 5 감소시킵니다. 상대 팀 OVR이 내 팀 OVR보다 높을 시 파워, 정확, 선구 능력치가 5 증가합니다."
M_034,MOMENT,BATTER,BIG BATS,"파워, 정확 능력치가 3 증가 합니다. 상대 투수의 OVR이 더 낮은 경우 파워, 정확 능력치가 5 증가합니다. 좋은 타격 타이밍일 경우 파워 10, 정확 능력치가 5 증가 합니다."
M_035,MOMENT,BATTER,FLASHBACK,"모든 능력치가 2 증가합니다. 주자가 있을 때 파워, 정확, 인내 능력치가 3 증가합니다. 주자가 더해질수록 추가로 3 씩 더 증가합니다"
M_036,MOMENT,BATTER,키 플레이어,모든 능력치가 6 증가합니다. 리그 모드인 경우 추가로 모든 능력치가 8 증가합니다.
M_037,MOMENT,BATTER,론스타,"모든 능력치가 4 증가합니다. 비기거나 지고있을 경우 파워, 정확, 선구 능력치가 10 증가합니다."
M_038,MOMENT,PITCHER,FLASHBACK,"모든 능력치가 2 증가합니다. 주자가 있을 때 구속, 변화, 구우ㅢ 능력치가 3 증가합니다. 주자가 더해질수록 추가로 3씩 더 증가합니다."
M_039,MOMENT,PITCHER,키 플레이어,모든 능력치가 6 증가합니다. 리그 모드인 경우 추가로 모든 능력치가 8 증가합니다.
M_040,MOMENT,PITCHER,론스타,"모든 능력치가 4 증가합니다. 비기거나 지고있을 경우 변화, 구위, 제구 능력치가 10 증가합니다."
M_041,MOMENT,PITCHER,파워 피처,"변화, 구위 능력치가 10 증가합니다. 구속 능력치가 상대 타자의 인내 능력치보다 높은 경우 상대 타자의 파워, 정확, 선구 능력치를 추가로 10 감소시킵니다."
M_042,MOMENT,PITCHER,마에스트로,"상대 타자의 모든 능력치를 11 감소시킵니다.
등판 후 처리한 아웃 카운트 하나 당 변화, 구위가 1 증가합니다.
변화, 구위 능력치는 최대 12까지 증가하며 강판 시까지 유지됩니다."
WBC_001,WBC,BATTER,WORLD BASEBALL CLASSIC 플레이어,모든 능력치가 y 증가합니다
WBC_002,WBC,BATTER,해결사,"상대 투수의 구위, 변화, 제구 능력치를 x+5 감소시킵니다. 주자가 있을 때 파워, 정확 능력치가 y 증가합니다"
WBC_003,WBC,BATTER,집중 상태,"모든 능력치가 x+7 증가합니다. 상대 투수의 OVR이 더 높은 경우 파워, 정확, 선구, 인내 능력치가 x+7 증가합니다."
WBC_004,WBC,BATTER,토너먼트 정신,"파워 정확 인내 능력치가 y 증가합니다. 랭킹 대전, 랭킹 토너먼트, 라이브 매치에서 상대 투수의 구위, 변화, 제구 능력치를 x+2 감소시킵니다."
WBC_005,WBC,BATTER,WORLD BASEBALL CLASSIC 에이스,"모든 능력치가 x+7 증가합니다. 라인업에 등록된 모든 타자의 파워 능력치를 y, 정확 능력치를 z 증가시킵니다 (라인업 등록 효과 : 다른 스킬과 중복 가능, 동일 스킬과 중복 불가)"
WBC_006,WBC,"LF, CR, RF",WORLD BASEBALL CLASSIC 아웃필더,"LF, CF, RF로 배치하면 상대 투수의 투수의 구위, 변화 능력치를 x+5 감소시킵니다. 주루+수비 능력치의 y% 만큼 파워, 정확이 증가합니다."
WBC_007,WBC,PITCHER,WORLD BASEBALL CLASSIC 플레이어,모든 능력치가 y 증가합니다.
WBC_008,WBC,PITCHER,해결사,"상대 타자의 파워, 정확, 인내 능력치를 x+5 감소시킵니다. 주자가 있을 때 구위, 변화 능력치가 y 증가합니다."
WBC_009,WBC,PITCHER,집중 상태,"모든 능력치가 x+7 증가합니다. 상대 타자의 OVR이 더 높은 경우 구위, 변화, 구속, 제구 능력치가 x+7 증가합니다."
WBC_010,WBC,PITCHER,토너먼트 정신,"구위, 변화, 구속 능력치가 y 증가합니다. 랭킹 대전, 랭킹 토너먼트, 라이브 매치에서 상대 타자의 파워, 정확, 선구 능력치를 x+2 감소시킵니다."
WBC_011,WBC,PITCHER,WORLD BASEBALL CLASSIC 에이스,"모든 능력치가 x+7 증가합니다. 라인업에 등록된 모든 투수의 구위 능력치를 y. 변화 능력치를 z 증가시킵니다. (라인업 등록 효과 : 다른 스킬과 중복 가능, 동일 스킬과 중복 불가)"
WBC_012,WBC,SP,WORLD BASEBALL CLASSIC 프론트라인,"상대 타자의 파워, 정확 능력치를 x+2 감소시킵니다. 1. 2 선발로 배치하면 모든 능력치가 x+2 증가합니다"
