skill_id,stat,condition,values,base_stat
G_031,정확,ALWAYS,1/1/2/3/4/5/6/7/8,
G_032,파워,ALWAYS,1/1/2/3/4/5/6/7/8,
G_032,정확,ALWAYS,1/1/2/3/4/5/6/7/8,
G_032,인내,ALWAYS,1/1/2/3/4/5/6/7/8,
G_032,구위,6회이후+리드아님,2/3/4/5/6/7/8/9/10,
G_033,변화,ALWAYS,1/1/2/2/3/4/5/6/7,
G_033,파워,타석1,2/2/2/2/2/3/3/3/3,
G_033,정확,타석1,2/2/2/2/2/3/3/3/3,
G_033,선구,타석1,2/2/2/2/2/3/3/3/3,
G_033,파워,타석2,4/4/4/4/4/6/6/6/6,
G_033,정확,타석2,4/4/4/4/4/6/6/6/6,
G_033,선구,타석2,4/4/4/4/4/6/6/6/6,
G_033,파워,타석3,6/6/6/6/6/9/9/9/9,
G_033,정확,타석3,6/6/6/6/6/9/9/9/9,
G_033,선구,타석3,6/6/6/6/6/9/9/9/9,
G_033,파워,타석4,8/8/8/8/8/10/10/10/10,
G_033,정확,타석4,8/8/8/8/8/10/10/10/10,
G_033,선구,타석4,8/8/8/8/8/10/10/10/10,
G_033,파워,타석5_7,10,
G_033,정확,타석5_7,10,
G_033,선구,타석5_7,10,
G_034,구위,ALWAYS,1/2/3/4/5/6/7/8/9,
G_034,파워,타석1,8,
G_034,정확,타석1,8,
G_034,파워,타석2,6,
G_034,정확,타석2,6,
G_034,파워,타석3,4,
G_034,정확,타석3,4,
G_034,파워,타석4_7,2,
G_034,정확,타석4_7,2,
G_035,변화,ALWAYS,2/3/4/5/6/7/8/9/10,
G_035,제구,ALWAYS,2/3/4/5/6/7/8/9/10,
G_035,구속,ALWAYS,2/3/4/5/6/7/8/9/10,
G_035,정확,ALWAYS,3/4/5/6/7/9/11/13/13,
G_035,파워,ALWAYS,3,
G_036,정확,ALWAYS,1/2/3/4/5/6/7/8/9,
G_036,선구,ALWAYS,1/2/3/4/5/6/7/8/9,
G_036,구위,덱스코어열세,2/3/3/4/4/5/6/7/8,
G_036,변화,덱스코어열세,2/3/3/4/4/5/6/7/8,
G_037,구위,ALWAYS,1/1/2/2/3/3/4/4/5,
G_037,변화,ALWAYS,1/1/2/2/3/3/4/4/5,
G_037,제구,ALWAYS,1/1/2/2/3/3/4/4/5,
G_037,파워,덱스코어열세,1/2/3/4/5/6/7/8/9,
G_037,정확,덱스코어열세,1/2/3/4/5/6/7/8/9,
G_037,선구,덱스코어열세,1/2/3/4/5/6/7/8/9,
G_038,변화,ALWAYS,2/3/4/5/6/7/8/9/10,
G_038,파워,ALWAYS,0.01,스페셜덱
G_038,정확,ALWAYS,0.01,스페셜덱
G_038,선구,ALWAYS,0.01,스페셜덱
G_039,구속,ALWAYS,1/2/3/4/5/6/7/8/9,
G_039,구위,ALWAYS,1/2/3/4/5/6/7/8/9,
G_039,변화,ALWAYS,1/2/3/4/5/6/7/8/9,
G_039,제구,ALWAYS,1/2/3/4/5/6/7/8/9,
G_039,지구력,ALWAYS,1/2/3/4/5/6/7/8/9,
G_039,수비,ALWAYS,1/2/3/4/5/6/7/8/9,
G_040,변화,ALWAYS,4/5/6/7/8/9/10/11/12,
G_040,구속,ALWAYS,4/5/6/7/8/9/10/11/12,
G_041,파워,ALWAYS,1/2/3/4/5/6/7/8/9,
G_041,주루,ALWAYS,1/2/3/4/5/6/7/8/9,
G_042,변화,ALWAYS,1/2/3/4/5/6/7/8/9,
G_042,제구,ALWAYS,1/2/3/4/5/6/7/8/9,
G_043,구위,등판후3타자,2/3/4/5/6/7/8/9/10,
G_043,변화,등판후3타자,2/3/4/5/6/7/8/9/10,
G_043,제구,등판후3타자,2/3/4/5/6/7/8/9/10,
G_043,구속,등판후3타자,2/3/4/5/6/7/8/9/10,
G_044,변화,ALWAYS,4/5/6/7/8/9/10/11/12,
G_044,제구,ALWAYS,4/5/6/7/8/9/10/11/12,
G_045,구위,OVR열세,3/4/5/6/7/8/9/10/11,
G_045,변화,OVR열세,3/4/5/6/7/8/9/10/11,
G_045,제구,OVR열세,3/4/5/6/7/8/9/10/11,
G_045,구속,OVR열세,3/4/5/6/7/8/9/10/11,
G_046,구위,8회이후,2/3/4/5/6/7/8/9/10,
G_046,변화,8회이후,2/3/4/5/6/7/8/9/10,
G_046,제구,8회이후,2/3/4/5/6/7/8/9/10,
G_046,구속,8회이후,2/3/4/5/6/7/8/9/10,
G_047,구위,ALWAYS,1/2/3/4/5/6/7/8/9,
G_047,변화,ALWAYS,1/2/3/4/5/6/7/8/9,
G_047,지구력,ALWAYS,1/2/3/4/5/6/7/8/9,
G_047,구위,홈,1,
G_047,변화,홈,1,
G_047,지구력,홈,1,
G_048,구위,ALWAYS,1/2/3/4/5/6/7/8/9,
G_048,구속,ALWAYS,1/2/3/4/5/6/7/8/9,
G_048,정확,포지션_SP+1_2회,2/3/4/5/6/7/8/9/10,
G_048,선구,포지션_SP+1_2회,2/3/4/5/6/7/8/9/10,
G_048,인내,포지션_SP+1_2회,2/3/4/5/6/7/8/9/10,
G_049,정확,ALWAYS,1/2/3/4/5/6/7/8/9,
G_049,선구,ALWAYS,1/2/3/4/5/6/7/8/9,
G_049,구위,교체후첫타자,5/6/7/8/9/10/11/12/13,
G_049,변화,교체후첫타자,5/6/7/8/9/10/11/12/13,
G_049,제구,교체후첫타자,5/6/7/8/9/10/11/12/13,
G_050,수비,ALWAYS,1/2/3/4/5/6/7/8/9,
G_050,지구력,ALWAYS,1/2/3/4/5/6/7/8/9,
G_050,구위,모드_리그,4/5/6/7/8/10/12/14/16,
G_050,제구,모드_리그,4/5/6/7/8/10/12/14/16,
G_050,구속,모드_리그,4/5/6/7/8/10/12/14/16,
G_050,지구력,모드_리그,4/5/6/7/8/10/12/14/16,
G_051,구위,ALWAYS,1/2/3/4/5/6/7/8/9,
G_051,구속,ALWAYS,1/2/3/4/5/6/7/8/9,
G_051,변화,주자있음,3,
G_051,제구,주자있음,3,
G_052,변화,ALWAYS,2/3/4/5/6/7/8/9/10,
G_052,구속,ALWAYS,2/3/4/5/6/7/8/9/10,
G_052,파워,선발3_4_5+중계3_4_5+등판후4타자,1/2/3/4/5/6/7/8/9,
G_052,인내,선발3_4_5+중계3_4_5+등판후4타자,1/2/3/4/5/6/7/8/9,
G_053,구속,ALWAYS,1/2/3/4/5/6/7/8/9,
G_053,구위,ALWAYS,1/2/3/4/5/6/7/8/9,
G_053,변화,ALWAYS,1/2/3/4/5/6/7/8/9,
G_053,제구,ALWAYS,1/2/3/4/5/6/7/8/9,
G_053,지구력,ALWAYS,1/2/3/4/5/6/7/8/9,
G_053,수비,ALWAYS,1/2/3/4/5/6/7/8/9,
G_053,구속,상대등급우세,1,
G_053,구위,상대등급우세,1,
G_053,변화,상대등급우세,1,
G_053,제구,상대등급우세,1,
G_053,지구력,상대등급우세,1,
G_053,수비,상대등급우세,1,
G_054,구위,ALWAYS,1/2/3/4/5/6/7/8/9,
G_054,변화,ALWAYS,1/2/3/4/5/6/7/8/9,
G_054,제구,ALWAYS,1/2/3/4/5/6/7/8/9,
G_054,구위,모드_랭킹대전+모드_라이브매치+모드_타점배틀,1,
G_054,변화,모드_랭킹대전+모드_라이브매치+모드_타점배틀,1,
G_054,수비,모드_랭킹대전+모드_라이브매치+모드_타점배틀,1,
G_055,제구,ALWAYS,2/3/4/5/6/7/8/9/10,
G_055,구속,ALWAYS,2/3/4/5/6/7/8/9/10,
G_055,수비,ALWAYS,2/3/4/5/6/7/8/9/10,
G_055,파워,포지션_SP+6회까지,2/3/4/5/6/7/8/9/10,
G_055,정확,포지션_SP+6회까지,2/3/4/5/6/7/8/9/10,
G_055,선구,포지션_SP+6회까지,2/3/4/5/6/7/8/9/10,
G_056,제구,ALWAYS,2/3/4/5/6/7/8/9/10,
G_056,구속,ALWAYS,2/3/4/5/6/7/8/9/10,
G_056,수비,ALWAYS,2/3/4/5/6/7/8/9/10,
G_056,파워,비김또는리드+포지션_RP_CP+등판후3타자,2/3/4/5/6/7/8/9/10,
G_056,정확,비김또는리드+포지션_RP_CP+등판후3타자,2/3/4/5/6/7/8/9/10,
G_056,선구,비김또는리드+포지션_RP_CP+등판후3타자,2/3/4/5/6/7/8/9/10,
G_057,구속,ALWAYS,1/2/3/4/5/6/7/8/9,
G_057,구위,ALWAYS,1,
G_057,변화,ALWAYS,1,
G_057,제구,ALWAYS,1,
G_057,구위,ALWAYS,0.05/0.05/0.05/0.05/0.05/0.06/0.06/0.06/0.06,지구력
G_057,변화,ALWAYS,0.05/0.05/0.05/0.05/0.05/0.06/0.06/0.06/0.06,지구력
G_057,제구,ALWAYS,0.05/0.05/0.05/0.05/0.05/0.06/0.06/0.06/0.06,지구력
G_058,구위,ALWAYS,1/2/2/3/4/5/7/9/11,
G_058,변화,ALWAYS,1/2/2/3/4/5/7/9/11,
G_058,제구,ALWAYS,1/2/2/3/4/5/7/9/11,
G_058,구속,ALWAYS,1/2/2/3/4/5/7/9/11,
G_058,수비,ALWAYS,3/3/4/4/5/5/6/6/7,
G_058,지구력,ALWAYS,3/3/4/4/5/5/6/6/7,
G_059,구위,ALWAYS,2/3/4/5/6/7/8/9/10,
G_059,변화,ALWAYS,2/3/4/5/6/7/8/9/10,
G_059,제구,포지션_SP+포지션_RP_CP,3/4/5/6/7/8/9/10/11,
G_059,구속,포지션_SP+포지션_RP_CP,3/4/5/6/7/8/9/10/11,
G_059,지구력,포지션_SP+포지션_RP_CP,3/4/5/6/7/8/9/10/11,
G_060,구위,ALWAYS,1/1/1/1/1/2/2/3/3,
G_060,변화,ALWAYS,1/1/1/1/1/2/2/3/3,
G_060,제구,ALWAYS,1/1/1/1/1/2/2/3/3,
G_060,구속,ALWAYS,1/1/1/1/1/2/2/3/3,
G_060,구위,OVR열세,1/2/3/4/5/6/7/8/9,
G_060,변화,OVR열세,1/2/3/4/5/6/7/8/9,
G_060,제구,OVR열세,1/2/3/4/5/6/7/8/9,
G_060,구속,OVR열세,1/2/3/4/5/6/7/8/9,
G_061,변화,ALWAYS,1/2/3/4/5/6/7/8/9,
G_061,구속,ALWAYS,1/2/3/4/5/6/7/8/9,
G_061,구위,모드_랭킹대전+모드_라이브매치,2/3/4/5/6/7/8/9/10,
G_061,제구,모드_랭킹대전+모드_라이브매치,2/3/4/5/6/7/8/9/10,
G_062,구위,ALWAYS,1/2/3/4/5/6/7/8/9,
G_062,변화,ALWAYS,1/2/3/4/5/6/7/8/9,
G_062,지구력,ALWAYS,1/2/3/4/5/6/7/8/9,
G_062,파워,원정,2/2/2/2/2/3/4/5/6,
G_062,정확,원정,2/2/2/2/2/3/4/5/6,
G_062,주루,원정,2/2/2/2/2/3/4/5/6,
G_063,구위,ALWAYS,2/2/3/3/4/5/6/7/8,
G_063,변화,ALWAYS,2/2/3/3/4/5/6/7/8,
G_063,파워,포지션_RP_CP,2/3/4/5/6/7/8/9/10,
G_063,정확,포지션_RP_CP,2/3/4/5/6/7/8/9/10,
G_063,선구,포지션_RP_CP,2/3/4/5/6/7/8/9/10,
G_064,구위,ALWAYS,2/3/4/5/6/8/10/12/13,
G_064,제구,ALWAYS,2/3/4/5/6/8/10/12/13,
G_064,정확,선발1_2,1/2/3/4/5/6/7/8/9,
G_064,인내,선발1_2,1/2/3/4/5/6/7/8/9,
G_065,변화,ALWAYS,1/2/3/4/5/6/7/8/9,
G_065,제구,ALWAYS,1/2/3/4/5/6/7/8/9,
G_065,구위,리드,3/4/5/6/7/8/9/10/11,
G_065,구속,리드,3/4/5/6/7/8/9/10/11,
G_066,구위,ALWAYS,1/1/1/2/3/4/5/6/7,
G_066,변화,ALWAYS,1/1/1/2/3/4/5/6/7,
G_066,구위,ALWAYS,1/2/3/3/3/4/5/7/8,
G_066,변화,ALWAYS,1/2/3/3/3/4/5/7/8,
G_066,제구,ALWAYS,1/2/3/3/3/4/5/7/8,
G_066,구위,ALWAYS,1,
G_066,변화,ALWAYS,1,
G_066,제구,ALWAYS,1,
G_067,파워,ALWAYS,1/1/2/2/3/3/4/5/6,
G_067,정확,ALWAYS,1/1/2/2/3/3/4/5/6,
G_067,구위,주자있음,1/2/3/4/5/6/7/8/9,
G_067,변화,주자있음,1/2/3/4/5/6/7/8/9,
G_068,파워,ALWAYS,1/2/3/4/5/5/6/6/7,
G_068,구위,ALWAYS,0.01/0.01/0.01/0.01/0.01/0.02/0.02/0.03/0.03,변화+제구
G_068,변화,ALWAYS,0.01/0.01/0.01/0.01/0.01/0.02/0.02/0.03/0.03,변화+제구
G_069,파워,ALWAYS,1/2/2/3/3/4/5/6/7,
G_069,정확,ALWAYS,1/2/2/3/3/4/5/6/7,
G_069,선구,ALWAYS,1/2/2/3/3/4/5/6/7,
G_069,인내,ALWAYS,1/2/2/3/3/4/5/6/7,
G_069,구위,선발1,1/1/2/3/4/5/7/9/10,
G_069,변화,선발1,1/1/2/3/4/5/7/9/10,
G_069,제구,선발1,1/1/2/3/4/5/7/9/10,
G_069,구속,선발1,1/1/2/3/4/5/7/9/10,
G_070,변화,ALWAYS,1/2/3/4/5/6/7/8/9,
G_070,제구,ALWAYS,1/2/3/4/5/6/7/8/9,
G_070,파워,덱스코어열세,2/3/3/4/4/5/6/7/8,
G_070,정확,덱스코어열세,2/3/3/4/4/5/6/7/8,
G_071,파워,ALWAYS,1/1/2/2/3/3/4/4/5,
G_071,정확,ALWAYS,1/1/2/2/3/3/4/4/5,
G_071,선구,ALWAYS,1/1/2/2/3/3/4/4/5,
G_071,구위,덱스코어열세,1/2/3/4/5/6/7/8/9,
G_071,변화,덱스코어열세,1/2/3/4/5/6/7/8/9,
G_071,제구,덱스코어열세,1/2/3/4/5/6/7/8/9,
G_072,정확,ALWAYS,2/3/4/5/6/7/8/9/10,
G_072,구위,ALWAYS,0.01,스페셜덱
G_072,변화,ALWAYS,0.01,스페셜덱
G_072,제구,ALWAYS,0.01,스페셜덱
G_073,변화,ALWAYS,3/4/5/6/7/8/9/10/11,
G_073,제구,ALWAYS,3/4/5/6/7/8/9/10/11,
G_073,파워,ALWAYS,1/1/1/1/2/2/3/3/4,
