ladder,threshold,side,target,stat,amount,condition
TEAM,390,RIGHT,CP,변화,1,ALWAYS
TEAM,390,RIGHT,CP,구위,1,ALWAYS
TEAM,405,LEFT,BATTER_ALL,파워,1,ENHANCE_GTE_10
TEAM,405,LEFT,BATTER_ALL,정확,1,ENHANCE_GTE_10
TEAM,405,RIGHT,PITCHER_ALL,변화,1,ENHANCE_GTE_10
TEAM,405,RIGHT,PITCHER_ALL,구위,1,ENHANCE_GTE_10
TEAM,420,LEFT,BATTER_ALL,파워,1,ALWAYS
TEAM,420,LEFT,BATTER_ALL,선구,1,ALWAYS
TEAM,420,RIGHT,PITCHER_ALL,구위,1,ALWAYS
TEAM,435,LEFT,C|1B|2B|3B|SS,파워,1,ALWAYS
TEAM,435,LEFT,C|1B|2B|3B|SS,정확,1,ALWAYS
TEAM,435,LEFT,C|1B|2B|3B|SS,선구,1,ALWAYS
TEAM,435,RIGHT,LF|CF|RF|DH,파워,1,ALWAYS
TEAM,435,RIGHT,LF|CF|RF|DH,정확,1,ALWAYS
TEAM,435,RIGHT,LF|CF|RF|DH,선구,1,ALWAYS
TEAM,450,LEFT,BATTER_ALL,파워,1,ALWAYS
TEAM,450,LEFT,BATTER_ALL,정확,1,ALWAYS
TEAM,450,RIGHT,PITCHER_ALL,변화,1,ALWAYS
TEAM,450,RIGHT,PITCHER_ALL,구위,1,ALWAYS
TEAM,460,LEFT,BATTER_ALL,파워,1,CARD_LIVE_SEASON
TEAM,460,LEFT,BATTER_ALL,정확,1,CARD_LIVE_SEASON
TEAM,460,LEFT,BATTER_ALL,선구,1,CARD_LIVE_SEASON
TEAM,460,LEFT,PITCHER_ALL,변화,1,CARD_LIVE_SEASON
TEAM,460,LEFT,PITCHER_ALL,구위,1,CARD_LIVE_SEASON
TEAM,460,RIGHT,BATTER_ALL,파워,1,CARD_NOT_LIVE_SEASON
TEAM,460,RIGHT,BATTER_ALL,정확,1,CARD_NOT_LIVE_SEASON
TEAM,460,RIGHT,BATTER_ALL,선구,1,CARD_NOT_LIVE_SEASON
TEAM,460,RIGHT,PITCHER_ALL,변화,1,CARD_NOT_LIVE_SEASON
TEAM,460,RIGHT,PITCHER_ALL,구위,1,CARD_NOT_LIVE_SEASON
TEAM,470,LEFT,BATTER_ALL,정확,1,ALWAYS
TEAM,470,RIGHT,PITCHER_ALL,변화,1,ALWAYS
TEAM,480,LEFT,SP,변화,1,ALWAYS
TEAM,480,LEFT,SP,구위,1,ALWAYS
TEAM,480,RIGHT,RP_CP,변화,2,ALWAYS
TEAM,480,RIGHT,RP_CP,구위,2,ALWAYS
TEAM,490,LEFT,RP_CP,변화,2,ALWAYS
TEAM,490,LEFT,RP_CP,구위,2,ALWAYS
TEAM,490,RIGHT,SP,변화,1,ALWAYS
TEAM,490,RIGHT,SP,구위,1,ALWAYS
TEAM,500,LEFT,BATTER_ALL,파워,2,ALWAYS
TEAM,500,LEFT,BATTER_ALL,정확,2,ALWAYS
TEAM,500,LEFT,BATTER_ALL,선구,2,ALWAYS
TEAM,500,LEFT,PITCHER_ALL,변화,2,ALWAYS
TEAM,500,LEFT,PITCHER_ALL,구위,2,ALWAYS
TEAM,520,LEFT,BATTER_ALL,정확,1,ALWAYS
TEAM,520,RIGHT,PITCHER_ALL,변화,1,ALWAYS
TEAM,540,LEFT,C|1B|2B|3B|SS,정확,1,ALWAYS
TEAM,540,RIGHT,RP_CP,구위,1,ALWAYS
TEAM,560,LEFT,BATTER_ALL,정확,2,ORDER_3_5
TEAM,560,LEFT,BATTER_ALL,선구,2,ORDER_3_5
TEAM,560,RIGHT,SP,구위,1,ALWAYS
TEAM,580,LEFT,BATTER_ALL,파워,1,ALWAYS
TEAM,580,RIGHT,PITCHER_ALL,구위,1,ALWAYS
TEAM,600,LEFT,SP,변화,1,ALWAYS
TEAM,600,LEFT,SP,구위,1,ALWAYS
TEAM,600,RIGHT,RP_CP,변화,2,ALWAYS
TEAM,600,RIGHT,RP_CP,구위,2,ALWAYS
SPECIAL,100,LEFT,BATTER_ALL,파워,2,ALWAYS
SPECIAL,100,LEFT,BATTER_ALL,정확,2,ALWAYS
SPECIAL,100,LEFT,BATTER_ALL,선구,2,ALWAYS
SPECIAL,100,LEFT,PITCHER_ALL,변화,2,ALWAYS
SPECIAL,100,LEFT,PITCHER_ALL,구위,2,ALWAYS
SPECIAL,150,LEFT,BATTER_ALL,파워,1,ALWAYS
SPECIAL,150,LEFT,BATTER_ALL,정확,1,ALWAYS
SPECIAL,150,LEFT,BATTER_ALL,선구,1,ALWAYS
SPECIAL,200,LEFT,BATTER_ALL,파워,3,ALWAYS
SPECIAL,200,LEFT,BATTER_ALL,정확,3,ALWAYS
SPECIAL,200,LEFT,BATTER_ALL,선구,3,ALWAYS
SPECIAL,200,LEFT,PITCHER_ALL,변화,3,ALWAYS
SPECIAL,200,LEFT,PITCHER_ALL,구위,3,ALWAYS
SPECIAL,220,LEFT,BATTER_ALL,정확,1,ALWAYS
SPECIAL,220,LEFT,BATTER_ALL,선구,1,ALWAYS
SPECIAL,240,LEFT,RP_CP,구위,1,ALWAYS
SPECIAL,240,RIGHT,BATTER_ALL,정확,1,ORDER_6_9
SPECIAL,240,RIGHT,BATTER_ALL,선구,2,ORDER_6_9
SPECIAL,260,LEFT,BATTER_ALL,파워,1,ALWAYS
SPECIAL,260,LEFT,BATTER_ALL,정확,1,ALWAYS
SPECIAL,260,LEFT,BATTER_ALL,선구,1,ALWAYS
SPECIAL,260,RIGHT,PITCHER_ALL,변화,1,ALWAYS
SPECIAL,260,RIGHT,PITCHER_ALL,구위,1,ALWAYS
SPECIAL,280,LEFT,2B|SS,파워,1,ALWAYS
SPECIAL,280,LEFT,2B|SS,정확,1,ALWAYS
SPECIAL,280,LEFT,2B|SS,선구,1,ALWAYS
SPECIAL,280,RIGHT,1B|3B,파워,1,ALWAYS
SPECIAL,280,RIGHT,1B|3B,정확,1,ALWAYS
SPECIAL,280,RIGHT,1B|3B,선구,1,ALWAYS
SPECIAL,300,LEFT,PITCHER_ALL,변화,1,ALWAYS
SPECIAL,300,LEFT,PITCHER_ALL,구위,1,ALWAYS
SPECIAL,320,LEFT,SP,구위,1,ALWAYS
SPECIAL,320,RIGHT,RP_CP,변화,1,ALWAYS
SPECIAL,320,RIGHT,RP_CP,구위,1,ALWAYS
SPECIAL,340,LEFT,BATTER_ALL,정확,1,ALWAYS
SPECIAL,340,LEFT,BATTER_ALL,선구,1,ALWAYS
SPECIAL,340,RIGHT,PITCHER_ALL,변화,1,ALWAYS
SPECIAL,360,LEFT,BATTER_ALL,정확,1,ENHANCE_GTE_10
SPECIAL,360,RIGHT,PITCHER_ALL,변화,1,ENHANCE_GTE_10
SPECIAL,380,LEFT,PITCHER_ALL,변화,1,CARD_LIVE_SEASON
SPECIAL,380,RIGHT,PITCHER_ALL,변화,1,CARD_NOT_LIVE_SEASON
SPECIAL,400,LEFT,BATTER_ALL,파워,1,ALWAYS
SPECIAL,400,LEFT,BATTER_ALL,정확,1,ALWAYS
SPECIAL,400,LEFT,BATTER_ALL,선구,1,ALWAYS
SPECIAL,400,LEFT,PITCHER_ALL,변화,1,ALWAYS
SPECIAL,400,LEFT,PITCHER_ALL,구위,1,ALWAYS
SPECIAL,420,LEFT,BATTER_ALL,파워,1,ORDER_1_2
SPECIAL,420,LEFT,BATTER_ALL,정확,1,ORDER_1_2
SPECIAL,420,LEFT,BATTER_ALL,선구,1,ORDER_1_2
SPECIAL,420,RIGHT,2B|SS,파워,1,ALWAYS
SPECIAL,420,RIGHT,2B|SS,정확,1,ALWAYS
SPECIAL,420,RIGHT,2B|SS,선구,1,ALWAYS
SPECIAL,440,LEFT,BATTER_ALL,파워,2,ALWAYS
SPECIAL,440,LEFT,BATTER_ALL,선구,1,ALWAYS
SPECIAL,440,RIGHT,PITCHER_ALL,구위,2,ALWAYS
SPECIAL,460,LEFT,BATTER_ALL,파워,1,ALWAYS
SPECIAL,460,LEFT,BATTER_ALL,선구,1,ALWAYS
SPECIAL,460,RIGHT,PITCHER_ALL,구위,1,ALWAYS
SPECIAL,480,LEFT,C,파워,1,ALWAYS
SPECIAL,480,LEFT,C,정확,1,ALWAYS
SPECIAL,480,LEFT,C,선구,1,ALWAYS
SPECIAL,480,LEFT,PITCHER_ALL,변화,1,ALWAYS
SPECIAL,480,LEFT,PITCHER_ALL,구위,1,ALWAYS
SPECIAL,480,RIGHT,BATTER_ALL,파워,1,ALWAYS
SPECIAL,480,RIGHT,BATTER_ALL,정확,1,ALWAYS
SPECIAL,480,RIGHT,BATTER_ALL,선구,1,ALWAYS
SPECIAL,500,LEFT,BATTER_ALL,파워,2,ALWAYS
SPECIAL,500,LEFT,BATTER_ALL,정확,2,ALWAYS
SPECIAL,500,LEFT,BATTER_ALL,선구,2,ALWAYS
SPECIAL,500,LEFT,PITCHER_ALL,변화,2,ALWAYS
SPECIAL,500,LEFT,PITCHER_ALL,구위,2,ALWAYS
SPECIAL,520,LEFT,C|1B|2B|3B|SS,파워,1,ALWAYS
SPECIAL,520,LEFT,C|1B|2B|3B|SS,정확,1,ALWAYS
SPECIAL,520,RIGHT,PITCHER_ALL,변화,1,ALWAYS
SPECIAL,540,LEFT,BATTER_ALL,파워,1,ORDER_6_9
SPECIAL,540,LEFT,BATTER_ALL,선구,1,ORDER_6_9
SPECIAL,540,RIGHT,RP_CP,변화,1,ALWAYS
SPECIAL,540,RIGHT,RP_CP,구위,1,ALWAYS
SPECIAL,560,LEFT,BATTER_ALL,파워,2,CARD_LIVE_SEASON
SPECIAL,560,LEFT,BATTER_ALL,정확,2,CARD_LIVE_SEASON
SPECIAL,560,LEFT,BATTER_ALL,선구,2,CARD_LIVE_SEASON
SPECIAL,560,LEFT,PITCHER_ALL,변화,2,CARD_LIVE_SEASON
SPECIAL,560,LEFT,PITCHER_ALL,구위,2,CARD_LIVE_SEASON
SPECIAL,560,RIGHT,BATTER_ALL,파워,1,CARD_NOT_LIVE_SEASON
SPECIAL,560,RIGHT,BATTER_ALL,정확,1,CARD_NOT_LIVE_SEASON
SPECIAL,560,RIGHT,BATTER_ALL,선구,1,CARD_NOT_LIVE_SEASON
SPECIAL,560,RIGHT,PITCHER_ALL,변화,1,CARD_NOT_LIVE_SEASON
SPECIAL,560,RIGHT,PITCHER_ALL,구위,1,CARD_NOT_LIVE_SEASON
SPECIAL,580,LEFT,BATTER_ALL,파워,1,ORDER_1_2
SPECIAL,580,RIGHT,BATTER_ALL,정확,1,ORDER_3_5
SPECIAL,580,RIGHT,BATTER_ALL,선구,1,ORDER_3_5
SPECIAL,600,LEFT,BATTER_ALL,파워,1,ALWAYS
SPECIAL,600,LEFT,BATTER_ALL,정확,1,ALWAYS
SPECIAL,600,LEFT,BATTER_ALL,선구,1,ALWAYS
SPECIAL,600,RIGHT,PITCHER_ALL,변화,1,ALWAYS
SPECIAL,600,RIGHT,PITCHER_ALL,구위,1,ALWAYS
SPECIAL,615,LEFT,BATTER_ALL,정확,1,DECADE
SPECIAL,615,LEFT,BATTER_ALL,선구,1,DECADE
SPECIAL,615,RIGHT,PITCHER_ALL,변화,1,DECADE
SPECIAL,630,LEFT,LF|CF|RF|DH,정확,1,ALWAYS
SPECIAL,630,RIGHT,RP_CP,변화,1,ALWAYS
SPECIAL,630,RIGHT,RP_CP,구위,1,ALWAYS
SPECIAL,645,LEFT,BATTER_ALL,파워,1,DECADE
SPECIAL,645,RIGHT,PITCHER_ALL,구위,1,DECADE
SPECIAL,660,LEFT,BATTER_ALL,파워,1,ALWAYS
SPECIAL,660,LEFT,BATTER_ALL,정확,1,ALWAYS
SPECIAL,660,LEFT,BATTER_ALL,선구,1,ALWAYS
SPECIAL,660,LEFT,PITCHER_ALL,변화,1,ALWAYS
SPECIAL,660,LEFT,PITCHER_ALL,구위,1,ALWAYS
SPECIAL,680,LEFT,BATTER_ALL,파워,1,DECADE
SPECIAL,680,LEFT,BATTER_ALL,정확,1,DECADE
SPECIAL,680,LEFT,BATTER_ALL,선구,1,DECADE
SPECIAL,680,LEFT,PITCHER_ALL,변화,1,DECADE
SPECIAL,680,LEFT,PITCHER_ALL,구위,1,DECADE
SPECIAL,700,LEFT,BATTER_ALL,파워,1,ALWAYS
SPECIAL,700,LEFT,BATTER_ALL,정확,1,ALWAYS
SPECIAL,700,LEFT,BATTER_ALL,선구,1,ALWAYS
SPECIAL,700,LEFT,PITCHER_ALL,변화,1,ALWAYS
SPECIAL,700,LEFT,PITCHER_ALL,구위,1,ALWAYS
