skill_id,level,option,score,selector,source
BLACK_015,6,-,14.1,ALWAYS,[S1] 리그의 주도자 (-)
BLACK_015,7,-,16.45,ALWAYS,[S2] 리그의 주도자 (-)
BLACK_016,5,-,11.7,ALWAYS,[S0] 마운드 스타 (-)
BLACK_016,6,-,19.2,ALWAYS,[S1] 마운드 스타 (-)
BLACK_016,7,-,27.6,ALWAYS,[S2] 마운드 스타 (-)
BLACK_017,5,O,19.685714,MANUAL,[S0] 무실점 스타트 (O)
BLACK_017,5,X,9.4,MANUAL,[S0] 무실점 스타트 (X)
BLACK_017,6,O,28.5,MANUAL,[S1] 무실점 스타트 (O)
BLACK_017,6,X,14.1,MANUAL,[S1] 무실점 스타트 (X)
BLACK_017,7,O,41.721429,MANUAL,[S2] 무실점 스타트 (O)
BLACK_017,7,X,21.15,MANUAL,[S2] 무실점 스타트 (X)
BLACK_018,5,O,17.4,PSLOT=4..5,[S0] 용기 (O)
BLACK_018,5,X,8,!PSLOT=4..5,[S0] 용기 (X)
BLACK_018,6,O,26.1,PSLOT=4..5,[S1] 용기 (O)
BLACK_018,6,X,12,!PSLOT=4..5,[S1] 용기 (X)
BLACK_018,7,O,32.8,PSLOT=4..5,[S2] 용기 (O)
BLACK_018,7,X,14,!PSLOT=4..5,[S2] 용기 (X)
BLACK_019,5,-,7.76,ALWAYS,[S0] 냉철함 (-)
BLACK_019,6,-,13.64,ALWAYS,[S1] 냉철함 (-)
BLACK_019,7,-,16.58,ALWAYS,[S2] 냉철함 (-)
BLACK_020,5,-,8.02,ALWAYS,[S0] 리드 컨트롤 (-)
BLACK_020,6,-,13.33,ALWAYS,[S1] 리드 컨트롤 (-)
BLACK_020,7,-,16.635,ALWAYS,[S2] 리드 컨트롤 (-)
BLACK_021,5,-,16.45,ALWAYS,[S0] 베스트 컨디션 (-)
BLACK_021,6,-,23.5,ALWAYS,[S1] 베스트 컨디션 (-)
BLACK_021,7,-,30.55,ALWAYS,[S2] 베스트 컨디션 (-)
BLACK_022,5,-,11.38,ALWAYS,[S0] 도전 본능 (-)
BLACK_022,6,-,17.08,ALWAYS,[S1] 도전 본능 (-)
BLACK_022,7,-,22.77,ALWAYS,[S2] 도전 본능 (-)
BLACK_023,5,,19.4,ALWAYS,[S0]아웃필드 가디언
BLACK_023,6,,32.45,ALWAYS,[S1]아웃필드 가디언
BLACK_023,7,,41.15,ALWAYS,[S2]아웃필드 가디언
BLACK_024,5,,21.45,ALWAYS,[S0]5툴 유격수
BLACK_024,6,,35.7,ALWAYS,[S1]5툴 유격수
BLACK_024,7,,45.2,ALWAYS,[S2]5툴 유격수
B_001,5,-,3.087645,ALWAYS,[S0] 초구공략 (-)
B_001,6,-,3.705174,ALWAYS,[S1] 초구공략 (-)
B_001,7,-,4.322703,ALWAYS,[S2] 초구공략 (-)
B_001,8,-,4.940231,ALWAYS,[S3] 초구공략 (-)
B_001,9,-,5.55776,ALWAYS,[S4] 초구공략 (-)
B_002,5,-,3.6,ALWAYS,[S0] 인내심 (-)
B_002,6,-,4.32,ALWAYS,[S1] 인내심 (-)
B_002,7,-,5.04,ALWAYS,[S2] 인내심 (-)
B_002,8,-,5.76,ALWAYS,[S3] 인내심 (-)
B_002,9,-,6.48,ALWAYS,[S4] 인내심 (-)
B_003,5,-,3.6,ALWAYS,[S0] 승부근성 (-)
B_003,6,-,4.32,ALWAYS,[S1] 승부근성 (-)
B_003,7,-,5.04,ALWAYS,[S2] 승부근성 (-)
B_003,8,-,5.76,ALWAYS,[S3] 승부근성 (-)
B_003,9,-,6.48,ALWAYS,[S4] 승부근성 (-)
B_004,5,-,3.9,ALWAYS,[S0] 테이블세터 (-)
B_004,6,-,4.68,ALWAYS,[S1] 테이블세터 (-)
B_004,7,-,5.46,ALWAYS,[S2] 테이블세터 (-)
B_004,8,-,6.24,ALWAYS,[S3] 테이블세터 (-)
B_004,9,-,7.02,ALWAYS,[S4] 테이블세터 (-)
B_005,5,-,2.31,ALWAYS,[S0] 스윗스팟 (-)
B_005,6,-,2.64,ALWAYS,[S1] 스윗스팟 (-)
B_005,7,-,2.97,ALWAYS,[S2] 스윗스팟 (-)
B_005,8,-,3.63,ALWAYS,[S3] 스윗스팟 (-)
B_005,9,-,3.96,ALWAYS,[S4] 스윗스팟 (-)
B_006,5,-,6,ALWAYS,[S0] 평정심 (-)
B_006,6,-,7.2,ALWAYS,[S1] 평정심 (-)
B_006,7,-,8.4,ALWAYS,[S2] 평정심 (-)
B_006,8,-,9.6,ALWAYS,[S3] 평정심 (-)
B_006,9,-,10.8,ALWAYS,[S4] 평정심 (-)
B_007,5,-,0,ALWAYS,[S0] 이닝이터 (-)
B_007,6,-,0,ALWAYS,[S1] 이닝이터 (-)
B_007,7,-,0,ALWAYS,[S2] 이닝이터 (-)
B_007,8,-,0,ALWAYS,[S3] 이닝이터 (-)
B_007,9,-,0,ALWAYS,[S4] 이닝이터 (-)
B_008,5,마무리,3.114572,ROLE=CP,[S0] 기선제압 (마무리)
B_008,5,선발,0.394089,ROLE=SP,[S0] 기선제압 (선발)
B_008,5,중계,2.364532,ROLE=RP,[S0] 기선제압 (중계)
B_008,6,마무리,3.737486,ROLE=CP,[S1] 기선제압 (마무리)
B_008,6,선발,0.472906,ROLE=SP,[S1] 기선제압 (선발)
B_008,6,중계,2.837438,ROLE=RP,[S1] 기선제압 (중계)
B_008,7,마무리,4.3604,ROLE=CP,[S2] 기선제압 (마무리)
B_008,7,선발,0.551724,ROLE=SP,[S2] 기선제압 (선발)
B_008,7,중계,3.310345,ROLE=RP,[S2] 기선제압 (중계)
B_008,8,마무리,4.983315,ROLE=CP,[S3] 기선제압 (마무리)
B_008,8,선발,0.630542,ROLE=SP,[S3] 기선제압 (선발)
B_008,8,중계,3.783251,ROLE=RP,[S3] 기선제압 (중계)
B_008,9,마무리,5.606229,ROLE=CP,[S4] 기선제압 (마무리)
B_008,9,선발,0.70936,ROLE=SP,[S4] 기선제압 (선발)
B_008,9,중계,4.256158,ROLE=RP,[S4] 기선제압 (중계)
B_009,5,-,2.2,ALWAYS,[S0] 라스트 카운트 (-)
B_009,6,-,2.566667,ALWAYS,[S1] 라스트 카운트 (-)
B_009,7,-,2.933333,ALWAYS,[S2] 라스트 카운트 (-)
B_009,8,-,3.3,ALWAYS,[S3] 라스트 카운트 (-)
B_009,9,-,3.666667,ALWAYS,[S4] 라스트 카운트 (-)
B_010,5,-,1.173,ALWAYS,[S0] 자신감 (-)
B_010,6,-,1.3685,ALWAYS,[S1] 자신감 (-)
B_010,7,-,1.564,ALWAYS,[S2] 자신감 (-)
B_010,8,-,1.7595,ALWAYS,[S3] 자신감 (-)
B_010,9,-,1.955,ALWAYS,[S4] 자신감 (-)
G_001,5,-,14.4,ALWAYS,[S0] 배팅 머신 (-)
G_001,6,-,16.8,ALWAYS,[S1] 배팅 머신 (-)
G_001,7,-,19.2,ALWAYS,[S2] 배팅 머신 (-)
G_001,8,-,21.6,ALWAYS,[S3] 배팅 머신 (-)
G_001,9,-,24,ALWAYS,[S4] 배팅 머신 (-)
G_002,5,-,1.833333,ALWAYS,[S0] 어퍼 스윙 (-)
G_002,6,-,2.2,ALWAYS,[S1] 어퍼 스윙 (-)
G_002,7,-,2.566667,ALWAYS,[S2] 어퍼 스윙 (-)
G_002,8,-,2.933333,ALWAYS,[S3] 어퍼 스윙 (-)
G_002,9,-,3.3,ALWAYS,[S4] 어퍼 스윙 (-)
G_003,5,-,2.933333,ALWAYS,[S0] 하이볼 히터 (-)
G_003,6,-,3.666667,ALWAYS,[S1] 하이볼 히터 (-)
G_003,7,-,4.4,ALWAYS,[S2] 하이볼 히터 (-)
G_003,8,-,5.133333,ALWAYS,[S3] 하이볼 히터 (-)
G_003,9,-,5.5,ALWAYS,[S4] 하이볼 히터 (-)
G_004,5,-,3.19,ALWAYS,[S0] 클러치 히터 (-)
G_004,6,-,3.828,ALWAYS,[S1] 클러치 히터 (-)
G_004,7,-,4.466,ALWAYS,[S2] 클러치 히터 (-)
G_004,8,-,5.104,ALWAYS,[S3] 클러치 히터 (-)
G_004,9,-,5.742,ALWAYS,[S4] 클러치 히터 (-)
G_005,5,-,7.2,ALWAYS,[S0] 노림수 (-)
G_005,6,-,8.1,ALWAYS,[S1] 노림수 (-)
G_005,7,-,9,ALWAYS,[S2] 노림수 (-)
G_005,8,-,9.9,ALWAYS,[S3] 노림수 (-)
G_005,9,-,10.8,ALWAYS,[S4] 노림수 (-)
G_006,5,O,10,ORDER=4..5,[S0] 클린업 트리오 (O)
G_006,5,X,0,!ORDER=4..5,[S0] 클린업 트리오 (X)
G_006,6,O,12,ORDER=4..5,[S1] 클린업 트리오 (O)
G_006,6,X,0,!ORDER=4..5,[S1] 클린업 트리오 (X)
G_006,7,O,14,ORDER=4..5,[S2] 클린업 트리오 (O)
G_006,7,X,0,!ORDER=4..5,[S2] 클린업 트리오 (X)
G_006,8,O,16,ORDER=4..5,[S3] 클린업 트리오 (O)
G_006,8,X,0,!ORDER=4..5,[S3] 클린업 트리오 (X)
G_006,9,O,18,ORDER=4..5,[S4] 클린업 트리오 (O)
G_006,9,X,0,!ORDER=4..5,[S4] 클린업 트리오 (X)
G_007,5,그외,8.4,!GRADE=HOF,[S0] 패기 (그외)
G_007,5,명전,5.04,GRADE=HOF,[S0] 패기 (명전)
G_007,6,그외,9.6,!GRADE=HOF,[S1] 패기 (그외)
G_007,6,명전,5.76,GRADE=HOF,[S1] 패기 (명전)
G_007,7,그외,10.8,!GRADE=HOF,[S2] 패기 (그외)
G_007,7,명전,6.48,GRADE=HOF,[S2] 패기 (명전)
G_007,8,그외,12,!GRADE=HOF,[S3] 패기 (그외)
G_007,8,명전,7.2,GRADE=HOF,[S3] 패기 (명전)
G_007,9,그외,13.2,!GRADE=HOF,[S4] 패기 (그외)
G_007,9,명전,7.92,GRADE=HOF,[S4] 패기 (명전)
G_008,5,-,0,ALWAYS,[S0] 빠른발 (-)
G_008,6,-,0,ALWAYS,[S1] 빠른발 (-)
G_008,7,-,0,ALWAYS,[S2] 빠른발 (-)
G_008,8,-,0,ALWAYS,[S3] 빠른발 (-)
G_008,9,-,0,ALWAYS,[S4] 빠른발 (-)
G_009,5,-,10,ALWAYS,[S0] 홈 어드밴티지 (-)
G_009,6,-,12,ALWAYS,[S1] 홈 어드밴티지 (-)
G_009,7,-,14,ALWAYS,[S2] 홈 어드밴티지 (-)
G_009,8,-,16,ALWAYS,[S3] 홈 어드밴티지 (-)
G_009,9,-,18,ALWAYS,[S4] 홈 어드밴티지 (-)
G_010,5,O,5.5,MANUAL,[S0] 리드오프 (O)
G_010,5,X,2.8,MANUAL,[S0] 리드오프 (X)
G_010,6,O,5.9,MANUAL,[S1] 리드오프 (O)
G_010,6,X,3.2,MANUAL,[S1] 리드오프 (X)
G_010,7,O,7.2,MANUAL,[S2] 리드오프 (O)
G_010,7,X,3.6,MANUAL,[S2] 리드오프 (X)
G_010,8,O,7.6,MANUAL,[S3] 리드오프 (O)
G_010,8,X,4,MANUAL,[S3] 리드오프 (X)
G_010,9,O,8.9,MANUAL,[S4] 리드오프 (O)
G_010,9,X,4.4,MANUAL,[S4] 리드오프 (X)
G_011,5,-,5.75,ALWAYS,[S0] 대타 스페셜 (-)
G_011,6,-,6.9,ALWAYS,[S1] 대타 스페셜 (-)
G_011,7,-,8.05,ALWAYS,[S2] 대타 스페셜 (-)
G_011,8,-,9.2,ALWAYS,[S3] 대타 스페셜 (-)
G_011,9,-,10.35,ALWAYS,[S4] 대타 스페셜 (-)
G_012,5,-,0,ALWAYS,[S0] 리그의 강자 (-)
G_012,6,-,0,ALWAYS,[S1] 리그의 강자 (-)
G_012,7,-,0,ALWAYS,[S2] 리그의 강자 (-)
G_012,8,-,0,ALWAYS,[S3] 리그의 강자 (-)
G_012,9,-,0,ALWAYS,[S4] 리그의 강자 (-)
G_013,5,-,8.815,ALWAYS,[S0] 승부사 (-)
G_013,6,-,9.915,ALWAYS,[S1] 승부사 (-)
G_013,7,-,11.015,ALWAYS,[S2] 승부사 (-)
G_013,8,-,12.115,ALWAYS,[S3] 승부사 (-)
G_013,9,-,13.215,ALWAYS,[S4] 승부사 (-)
G_014,5,O,11.4,ORDER=6..9,[S0] 하위타선 (O)
G_014,5,X,5.4,!ORDER=6..9,[S0] 하위타선 (X)
G_014,6,O,13.5,ORDER=6..9,[S1] 하위타선 (O)
G_014,6,X,6.3,!ORDER=6..9,[S1] 하위타선 (X)
G_014,7,O,15.6,ORDER=6..9,[S2] 하위타선 (O)
G_014,7,X,7.2,!ORDER=6..9,[S2] 하위타선 (X)
G_014,8,O,17.7,ORDER=6..9,[S3] 하위타선 (O)
G_014,8,X,8.1,!ORDER=6..9,[S3] 하위타선 (X)
G_014,9,O,19.8,ORDER=6..9,[S4] 하위타선 (O)
G_014,9,X,9,!ORDER=6..9,[S4] 하위타선 (X)
G_015,5,명예의 전당,12,GRADE=HOF,[S0] 도전정신 (명예의 전당)
G_015,5,모먼트,13.88,MANUAL,[S0] 도전정신 (모먼트)
G_015,5,시그니처,12.94,MANUAL,[S0] 도전정신 (시그니처)
G_015,6,명예의 전당,14.4,GRADE=HOF,[S1] 도전정신 (명예의 전당)
G_015,6,모먼트,16.28,MANUAL,[S1] 도전정신 (모먼트)
G_015,6,시그니처,15.34,MANUAL,[S1] 도전정신 (시그니처)
G_015,7,명예의 전당,16.8,GRADE=HOF,[S2] 도전정신 (명예의 전당)
G_015,7,모먼트,18.68,MANUAL,[S2] 도전정신 (모먼트)
G_015,7,시그니처,17.74,MANUAL,[S2] 도전정신 (시그니처)
G_015,8,명예의 전당,19.2,GRADE=HOF,[S3] 도전정신 (명예의 전당)
G_015,8,모먼트,21.08,MANUAL,[S3] 도전정신 (모먼트)
G_015,8,시그니처,20.14,MANUAL,[S3] 도전정신 (시그니처)
G_015,9,명예의 전당,21.6,GRADE=HOF,[S4] 도전정신 (명예의 전당)
G_015,9,모먼트,23.48,MANUAL,[S4] 도전정신 (모먼트)
G_015,9,시그니처,22.54,MANUAL,[S4] 도전정신 (시그니처)
G_016,5,-,13.1,ALWAYS,[S0] 순위경쟁 (-)
G_016,6,-,15.5,ALWAYS,[S1] 순위경쟁 (-)
G_016,7,-,17.9,ALWAYS,[S2] 순위경쟁 (-)
G_016,8,-,20.3,ALWAYS,[S3] 순위경쟁 (-)
G_016,9,-,22.7,ALWAYS,[S4] 순위경쟁 (-)
G_017,5,O,14.1,ORDER=4..5,[S0] 중심타선 (O)
G_017,5,X,0,!ORDER=4..5,[S0] 중심타선 (X)
G_017,6,O,16.45,ORDER=4..5,[S1] 중심타선 (O)
G_017,6,X,0,!ORDER=4..5,[S1] 중심타선 (X)
G_017,7,O,18.8,ORDER=4..5,[S2] 중심타선 (O)
G_017,7,X,0,!ORDER=4..5,[S2] 중심타선 (X)
G_017,8,O,21.15,ORDER=4..5,[S3] 중심타선 (O)
G_017,8,X,0,!ORDER=4..5,[S3] 중심타선 (X)
G_017,9,O,23.5,ORDER=4..5,[S4] 중심타선 (O)
G_017,9,X,0,!ORDER=4..5,[S4] 중심타선 (X)
G_018,5,-,3.196791,ALWAYS,[S0] 후반집중력 (-)
G_018,6,-,3.72959,ALWAYS,[S1] 후반집중력 (-)
G_018,7,-,4.262388,ALWAYS,[S2] 후반집중력 (-)
G_018,8,-,4.795187,ALWAYS,[S3] 후반집중력 (-)
G_018,9,-,5.327985,ALWAYS,[S4] 후반집중력 (-)
G_019,5,O,7.8,ORDER=8..9,[S0] 수비 스페셜리스트 (O)
G_019,5,X,0,!ORDER=8..9,[S0] 수비 스페셜리스트 (X)
G_019,6,O,10.4,ORDER=8..9,[S1] 수비 스페셜리스트 (O)
G_019,6,X,0,!ORDER=8..9,[S1] 수비 스페셜리스트 (X)
G_019,7,O,13,ORDER=8..9,[S2] 수비 스페셜리스트 (O)
G_019,7,X,0,!ORDER=8..9,[S2] 수비 스페셜리스트 (X)
G_019,8,O,15.6,ORDER=8..9,[S3] 수비 스페셜리스트 (O)
G_019,8,X,0,!ORDER=8..9,[S3] 수비 스페셜리스트 (X)
G_019,9,O,18.2,ORDER=8..9,[S4] 수비 스페셜리스트 (O)
G_019,9,X,0,!ORDER=8..9,[S4] 수비 스페셜리스트 (X)
G_020,5,-,13.5,ALWAYS,[S0] 도전자 (-)
G_020,6,-,15.9,ALWAYS,[S1] 도전자 (-)
G_020,7,-,18.3,ALWAYS,[S2] 도전자 (-)
G_020,8,-,20.7,ALWAYS,[S3] 도전자 (-)
G_020,9,-,23.1,ALWAYS,[S4] 도전자 (-)
G_021,5,-,14.7,ALWAYS,[S0] 로드 워리어 (-)
G_021,6,-,19.05,ALWAYS,[S1] 로드 워리어 (-)
G_021,7,-,23.4,ALWAYS,[S2] 로드 워리어 (-)
G_021,8,-,27.75,ALWAYS,[S3] 로드 워리어 (-)
G_021,9,-,32.1,ALWAYS,[S4] 로드 워리어 (-)
G_022,5,-,7.65,ALWAYS,[S0] 승리의 함성 (-)
G_022,6,-,9,ALWAYS,[S1] 승리의 함성 (-)
G_022,7,-,10.35,ALWAYS,[S2] 승리의 함성 (-)
G_022,8,-,11.7,ALWAYS,[S3] 승리의 함성 (-)
G_022,9,-,13.05,ALWAYS,[S4] 승리의 함성 (-)
G_023,5,주수 200-249,8,STAT(주루+수비)=200..249,[S0] 5툴 플레이어 (주수 200-249)
G_023,5,주수 250-200,10,STAT(주루+수비)>=250,[S0] 5툴 플레이어 (주수 250-200)
G_023,5,주수 300-340,12,STAT(주루+수비)=300..340,[S0] 5툴 플레이어 (주수 300-340)
G_023,5,주수 350-399,14,STAT(주루+수비)=350..399,[S0] 5툴 플레이어 (주수 350-399)
G_023,6,주수 200-233,12,STAT(주루+수비)=200..233,[S1] 5툴 플레이어 (주수 200-233)
G_023,6,주수 234-266,14,STAT(주루+수비)=234..266,[S1] 5툴 플레이어 (주수 234-266)
G_023,6,주수 267-299,16,STAT(주루+수비)=267..299,[S1] 5툴 플레이어 (주수 267-299)
G_023,6,주수 300-333,18,STAT(주루+수비)=300..333,[S1] 5툴 플레이어 (주수 300-333)
G_023,6,주수 334-366,20,STAT(주루+수비)=334..366,[S1] 5툴 플레이어 (주수 334-366)
G_023,7,주수 200-233,12,STAT(주루+수비)=200..233,[S2] 5툴 플레이어 (주수 200-233)
G_023,7,주수 234-266,14,STAT(주루+수비)=234..266,[S2] 5툴 플레이어 (주수 234-266)
G_023,7,주수 267-299,16,STAT(주루+수비)=267..299,[S2] 5툴 플레이어 (주수 267-299)
G_023,7,주수 300-333,18,STAT(주루+수비)=300..333,[S2] 5툴 플레이어 (주수 300-333)
G_023,7,주수 334-366,20,STAT(주루+수비)=334..366,[S2] 5툴 플레이어 (주수 334-366)
G_023,8,주수 250-274,20,STAT(주루+수비)=250..274,[S3] 5툴 플레이어 (주수 250-274)
G_023,8,주수 275-299,22,STAT(주루+수비)=275..299,[S3] 5툴 플레이어 (주수 275-299)
G_023,8,주수 300-324,24,STAT(주루+수비)=300..324,[S3] 5툴 플레이어 (주수 300-324)
G_023,8,주수 325-349,26,STAT(주루+수비)=325..349,[S3] 5툴 플레이어 (주수 325-349)
G_023,8,주수 350-374,28,STAT(주루+수비)=350..374,[S3] 5툴 플레이어 (주수 350-374)
G_023,9,주수 250-274,20,STAT(주루+수비)=250..274,[S4] 5툴 플레이어 (주수 250-274)
G_023,9,주수 275-299,22,STAT(주루+수비)=275..299,[S4] 5툴 플레이어 (주수 275-299)
G_023,9,주수 300-324,24,STAT(주루+수비)=300..324,[S4] 5툴 플레이어 (주수 300-324)
G_023,9,주수 325-349,26,STAT(주루+수비)=325..349,[S4] 5툴 플레이어 (주수 325-349)
G_023,9,주수 350-374,28,STAT(주루+수비)=350..374,[S4] 5툴 플레이어 (주수 350-374)
G_024,5,-,9.6,ALWAYS,[S0] 베스트 플레이어 (-)
G_024,6,-,12,ALWAYS,[S1] 베스트 플레이어 (-)
G_024,7,-,16.8,ALWAYS,[S2] 베스트 플레이어 (-)
G_024,8,-,21.6,ALWAYS,[S3] 베스트 플레이어 (-)
G_024,9,-,26.4,ALWAYS,[S4] 베스트 플레이어 (-)
G_025,5,O,12.25,MANUAL,[S0] 컨택트 히터 (O)
G_025,5,X,7.05,MANUAL,[S0] 컨택트 히터 (X)
G_025,6,O,15.9,MANUAL,[S1] 컨택트 히터 (O)
G_025,6,X,9.4,MANUAL,[S1] 컨택트 히터 (X)
G_025,7,O,18.25,MANUAL,[S2] 컨택트 히터 (O)
G_025,7,X,11.75,MANUAL,[S2] 컨택트 히터 (X)
G_025,8,O,21.9,MANUAL,[S3] 컨택트 히터 (O)
G_025,8,X,14.1,MANUAL,[S3] 컨택트 히터 (X)
G_025,9,O,24.25,MANUAL,[S4] 컨택트 히터 (O)
G_025,9,X,16.45,MANUAL,[S4] 컨택트 히터 (X)
G_026,5,-,8.4,ALWAYS,[S0] 히어로 (-)
G_026,6,-,12,ALWAYS,[S1] 히어로 (-)
G_026,7,-,13.2,ALWAYS,[S2] 히어로 (-)
G_026,8,-,16.8,ALWAYS,[S3] 히어로 (-)
G_026,9,-,18,ALWAYS,[S4] 히어로 (-)
G_027,5,투수버프X,4.5,MANUAL,[S0] 포수 리드 (투수버프X)
G_027,6,투수버프X,5.4,MANUAL,[S1] 포수 리드 (투수버프X)
G_027,7,투수버프X,6.3,MANUAL,[S2] 포수 리드 (투수버프X)
G_027,8,투수버프X,7.2,MANUAL,[S3] 포수 리드 (투수버프X)
G_027,9,투수버프X,8.1,MANUAL,[S4] 포수 리드 (투수버프X)
G_028,5,-,10.933333,ALWAYS,[S0] 집중력 (-)
G_028,6,-,13.233333,ALWAYS,[S1] 집중력 (-)
G_028,7,-,15.533333,ALWAYS,[S2] 집중력 (-)
G_028,8,-,19.833333,ALWAYS,[S3] 집중력 (-)
G_028,9,-,22.133333,ALWAYS,[S4] 집중력 (-)
G_029,5,정주 200-299,10,STAT(정확+주루)=200..299,[S0] 호타준족 (정주 200-299)
G_029,5,정주 300-399,12,STAT(정확+주루)=300..399,[S0] 호타준족 (정주 300-399)
G_029,6,정주 200-249,14,STAT(정확+주루)=200..249,[S1] 호타준족 (정주 200-249)
